dog_id,bark_name,breed_title,pack_department,top_dog_id,email_sniff,phone_howl,adoption_date,departure_date,kennel_id,pack_id,created_at,updated_at
1,Droolius Caesar Jr.,German Shepherd,Nap Compliance,26,droolius_caesar_jr@barkmail.com,(394)916-4001x01204,2025-12-09,,3,5,2022-01-03 05:20:37,2021-12-05 02:41:33
2,Sir Waggington III,Rottweiler,Tailgineering,96,sir_waggington_iii@barkmail.com,(093)827-0547,2021-11-22,,1,4,2024-02-24 07:42:30,2024-11-17 15:20:37
3,Winnie the Pooch the Brave,Australian Shepherd,Howl-istics,97,winnie_the_pooch_the_brave@barkmail.com,856.957.1391,2020-11-05,2020-07-12,1,10,2024-02-05 00:10:22,2024-11-08 18:43:46
4,Arf Vader Jr.,Golden Retriever,Fur-nance,40,arf_vader_jr@barkmail.com,034.165.8649x519,2022-12-28,2020-10-21,2,7,2022-10-21 20:45:49,2020-05-15 04:35:40
5,Bilbo Waggins Sr.,Siberian Husky,Zoomie Coordination,40,bilbo_waggins_sr@barkmail.com,+1-890-137-0693,2024-09-26,,5,4,2024-06-02 05:28:21,2020-02-10 00:20:26
6,Lady Puppington the Brave,Doberman Pinscher,Barketing,4,lady_puppington_the_brave@barkmail.com,450.510.5283,2024-06-01,,5,2,2025-01-14 16:21:46,2024-08-26 22:36:39
7,Howlington Cooper Sr.,Bulldog,SniffOps,29,howlington_cooper_sr@barkmail.com,403-839-7187x48549,2022-05-25,,3,2,2021-07-28 15:31:24,2024-04-05 05:41:04
8,Droolius Caesar Jr.,Doberman Pinscher,Pupper Resources,63,droolius_caesar_jr@barkmail.com,+1-307-567-2781x358,2025-05-28,2020-02-27,2,2,2022-10-04 22:56:24,2024-09-29 13:55:28
9,Howlington Cooper III,Poodle,Treat Procurement,82,howlington_cooper_iii@barkmail.com,596-588-1884x25372,2023-08-03,2024-03-09,2,7,2022-01-10 08:08:51,2023-01-03 18:14:56
10,Bark Twain III,Doberman Pinscher,Treat Procurement,23,bark_twain_iii@barkmail.com,+1-412-514-8007x1058,2025-09-04,,4,4,2024-02-03 15:21:42,2024-08-13 02:45:22
11,Paw McCartney Jr.,Boston Terrier,Howl-istics,98,paw_mccartney_jr@barkmail.com,6884073180,2022-08-01,,4,5,2020-06-23 19:25:54,2021-03-23 16:36:26
12,Howlington Cooper Sr.,Chihuahua,Zoomie Coordination,31,howlington_cooper_sr@barkmail.com,552.826.0719,2022-03-30,,1,1,2022-11-08 19:47:27,2024-09-04 01:32:27
13,Muttlock Holmes the Brave,Shih Tzu,Pupper Resources,45,muttlock_holmes_the_brave@barkmail.com,950.242.8339x623,2025-11-20,,3,2,2024-10-24 19:21:23,2023-11-07 05:07:42
14,Paw Revere the Brave,Dachshund,Treat Procurement,81,paw_revere_the_brave@barkmail.com,970-256-1196x57895,2021-01-30,,1,6,2025-02-08 05:36:20,2023-07-16 13:20:28
15,Captain Sniffer III,Poodle,Fur-nance,7,captain_sniffer_iii@barkmail.com,507-548-2416,2020-05-07,,1,9,2020-06-16 10:14:43,2024-09-17 09:59:59
16,Bark Obama Sr.,Shih Tzu,Fur-nance,8,bark_obama_sr@barkmail.com,819-213-2396,2023-06-22,,2,4,2020-03-29 13:39:14,2024-09-21 03:03:43
17,Bilbo Waggins Jr.,Chihuahua,Zoomie Coordination,83,bilbo_waggins_jr@barkmail.com,407-037-7012x8596,2022-10-06,,1,10,2022-10-26 11:18:20,2024-06-21 21:45:50
18,Furcules Sr.,Boxer,Fur-nance,58,furcules_sr@barkmail.com,298-055-4242x852,2020-12-13,2021-10-27,1,1,2020-02-18 14:40:20,2021-11-04 21:29:44
19,Captain Sniffer Sr.,Border Collie,Pupper Resources,41,captain_sniffer_sr@barkmail.com,707.246.0986,2022-10-15,,4,7,2024-03-16 21:59:44,2021-04-26 06:26:33
20,Howlington Cooper the Brave,Bulldog,Nap Compliance,69,howlington_cooper_the_brave@barkmail.com,261-136-4247,2024-10-25,,4,1,2024-07-18 09:11:25,2023-05-25 04:00:09
21,Howlington Cooper Sr.,Shih Tzu,Fur-nance,49,howlington_cooper_sr@barkmail.com,001-263-468-3017x5366,2022-10-24,,4,3,2024-08-04 08:29:09,2023-08-11 11:11:51
22,Hairy Pawter Jr.,German Shepherd,SniffOps,6,hairy_pawter_jr@barkmail.com,1583835737,2023-06-01,2025-02-28,2,2,2023-08-14 03:15:20,2020-01-16 04:49:53
23,Droolius Caesar III,Great Dane,SniffOps,6,droolius_caesar_iii@barkmail.com,355-673-8281,2021-09-12,,3,3,2024-04-15 03:15:19,2021-12-10 23:13:31
24,Muttlock Holmes Jr.,Golden Retriever,Pupper Resources,67,muttlock_holmes_jr@barkmail.com,+1-664-957-8834x55315,2020-09-09,,4,2,2024-05-26 16:41:07,2023-07-26 12:22:29
25,Sherdog Holmes III,Chihuahua,Tailgineering,3,sherdog_holmes_iii@barkmail.com,+1-214-310-6859x628,2021-06-27,,1,8,2022-07-06 02:18:16,2020-02-20 07:12:45
26,Droolius Caesar III,Cocker Spaniel,Treat Procurement,24,droolius_caesar_iii@barkmail.com,(403)870-6183,2022-12-30,,5,6,2020-02-22 10:33:58,2024-04-20 05:21:11
27,Paw Revere the Brave,Dachshund,Pupper Resources,71,paw_revere_the_brave@barkmail.com,673.252.2526,2021-05-24,,2,4,2020-08-11 14:20:35,2021-12-01 18:52:39
28,Doge Vader Jr.,Doberman Pinscher,Nap Compliance,10,doge_vader_jr@barkmail.com,001-855-562-7627x529,2024-09-18,,3,10,2024-09-18 10:23:49,2022-01-23 09:54:08
29,Indiana Bones Jr.,Basset Hound,Howl-istics,31,indiana_bones_jr@barkmail.com,0743109773,2025-02-14,,3,3,2020-09-19 00:26:23,2022-10-28 06:45:31
30,Elon Muzzle Jr.,Australian Shepherd,Howl-istics,63,elon_muzzle_jr@barkmail.com,929.348.0608,2025-10-09,,5,5,2025-02-19 18:24:44,2024-02-27 14:35:25
31,Chewbarka Jr.,Cocker Spaniel,Pupper Resources,87,chewbarka_jr@barkmail.com,+1-876-315-9539x3871,2025-08-02,,2,2,2023-08-16 05:04:00,2021-01-12 06:40:54
32,Elon Muzzle the Brave,Great Dane,Zoomie Coordination,71,elon_muzzle_the_brave@barkmail.com,028-858-7672,2020-04-20,,2,7,2020-02-24 05:30:04,2024-08-31 17:22:32
33,Hairy Pawter III,Cocker Spaniel,Pawduct Management,71,hairy_pawter_iii@barkmail.com,494-728-2995,2022-09-09,,4,6,2024-06-22 15:36:26,2025-01-24 01:53:50
34,Woof Blitzer Jr.,Border Collie,Pawduct Management,65,woof_blitzer_jr@barkmail.com,+1-486-875-7897x27691,2020-07-13,,5,5,2022-04-25 17:54:19,2024-05-18 07:54:27
35,Howlington Cooper Sr.,Border Collie,SniffOps,31,howlington_cooper_sr@barkmail.com,(929)033-2387x85239,2023-07-19,,5,6,2020-03-19 12:10:37,2021-05-01 21:33:04
36,Paw McCartney Jr.,Yorkshire Terrier,Treat Procurement,8,paw_mccartney_jr@barkmail.com,001-665-386-9135x49860,2025-11-20,,3,10,2020-02-14 11:50:38,2024-07-22 00:31:19
37,Howlington Cooper Sr.,Golden Retriever,Nap Compliance,29,howlington_cooper_sr@barkmail.com,075.452.6468,2024-06-03,2022-10-23,3,9,2021-11-16 16:23:29,2022-04-02 03:01:33
38,Sir Waggington Sr.,Great Dane,Barketing,57,sir_waggington_sr@barkmail.com,(269)073-4942,2024-08-20,,1,2,2020-05-12 23:02:01,2024-02-13 19:45:22
